Name,LevelRange,Zone,Family
Long-Gunned Chariot,N/A,Nyzul Isle,Chariots
Long-Horned Chariot,N/A,Nyzul Isle,Chariots
Longarmed Gottditt,60 - 60,Horlais Peak,Orc
Loo Hepe the Eyepiercer,N/A,Dynamis - Windurst,Yagudo
Loo Kutto the Pensive,N/A,Castle Oztroja (S),Yagudo
Lord Ruthven,N/A,Xarcabard, 3 more areas,Vampyr
Lord Varney,N/A,Abyssea-Vunkerl,Vampyr
Lord of Onzozo,74 - 77,Labyrinth of Onzozo,Sea Monk
Lorelei,N/A,Abyssea-Grauberg,Pixie
Lost Soul,N/A,Maze of Shakhrami,Skeleton
Luaith,N/A,Sacrarium,Fomor
Lugarhoo,N/A,Abyssea-La Theine,Gnole
Lugh,N/A,Crawlers' Nest (S),Fomor
Lumber Jack,55 - 55,Batallia Downs,Beetle
Lumbering Lambert,27 - 28,La Theine Plateau,Ram
Luminare,N/A,Ghoyu's Reverie (MMM),Elemental
Lurklox Dhalmelneck,N/A,Dynamis - Jeuno,Dynamis - Goblin
Lusca,N/A,Abyssea-Attohwa,Xzomit
Lyncean Juwgneg,N/A,Dynamis - Buburimu,Dynamis - Orc
Maa Febi the Steadfast,N/A,Dynamis - Windurst,Yagudo
Maa Illmu the Bestower,N/A,Castle Oztroja (S),Yagudo
Maa Zaua the Wyrmkeeper,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Maahes,N/A,Abyssea-Attohwa,Lynx
Maat's Pet,N/A,Waughroon Shrine,Fly
Macan Gadangan,N/A,Balga's Dais,Coeurl
Macha,N/A,Waughroon Shrine,Bird
Macroplasm,N/A,Gustav Tunnel,Slime
Mad Bomber,N/A,Bhaflau Remnants,Salvage - Bomb
Maere,N/A,Abyssea-Grauberg,Avatar
Magic Shields,N/A,Periqia,Animated Weapon
Magic Sludge,64 - 64,Toraimarai Canal,Elemental
Magma,65 - 65,Ifrit's Cauldron,Bomb
Magnes Quadav,N/A,Beadeaux,Quadav
Magnotaur,N/A,Uleguerand Range,Taurus
Maharaja,N/A,Western Altepa Desert,Tiger
Mahisha,N/A,Phomiuna Aqueducts,Taurus
Mahishasura,N/A,Bhaflau Thickets,Marid
Mahjlaef the Paintorn,N/A,Caedarva Mire,Soulflayer
Maighdean Uaine,11 - 11,North Gustaberg,Sapling
Maighdean Uaine (Nyzul),N/A,Nyzul Isle,Sapling
Makki-Chebukki,N/A,Sealion's Den,Tarutaru
Malefic Fencer,N/A,Qufim Island,Animated Weapon
Malicearm Razbhobb,N/A,La Vaule (S),Orc
Maltha,N/A,Inner Horutoto Ruins,Slime
Mammet-22 Zeta,N/A,Sealion's Den,Humanoid
Mammet-800,N/A,Monarch Linn,Humanoid
Mamool Ja Cataphract,N/A,Al Zahbi,Mamool Ja
Mamool Ja Chamberlain,N/A,Mamook,Mamool Ja
Mamool Ja Entrancer,N/A,Al Zahbi,Mamool Ja
Mamool Ja Fetial,N/A,Al Zahbi,Mamool Ja
Mamool Ja Handler,N/A,Al Zahbi,Mamool Ja
Mamool Ja Hussar,N/A,Al Zahbi,Mamool Ja
Mamool Ja Palatine,N/A,Mamook,Mamool Ja
Mamool Ja Ravager,N/A,Al Zahbi,Mamool Ja
Mamool Ja Spotter,N/A,Al Zahbi,Mamool Ja
Mamool Ja's Lizard,N/A,Al Zahbi,Lizard
Mamool Ja's Wyvern,N/A,Al Zahbi,Wyvern
Manananggal,N/A,Abyssea-Tahrongi,Qutrub
Manes,N/A,Bostaunieux Oubliette,Ghost
Mangy-tailed Marvin,N/A,Abyssea-La Theine,Rabbit
Manipulator,69 - 69,Temple of Uggalepih,Doll
Manohra,N/A,Abyssea-Misareaux,Bird
Manticore-X,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Manticore
Marauder Dvogzog,67 - 67,West Ronfaure,Orc
Marchelute,41 - 41,Valkurm Dunes,Shadow
Margygr,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Ahriman
Marid-X,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Marid
Marquis Allocen,76 - 76,Castle Zvahl Baileys,Demon
Marquis Amon,76 - 76,Castle Zvahl Baileys,Demon
Marquis Amon,N/A,Throne Room (S),Demon
Marquis Andras,N/A,Dynamis - Xarcabard,Dynamis - Demon
Marquis Andrealphus,N/A,Castle Zvahl Baileys,Demon
Marquis Cimeries,N/A,Dynamis - Xarcabard,Dynamis - Demon
Marquis Decarabia,N/A,Dynamis - Xarcabard,Dynamis - Demon
Marquis Forneus,N/A,Castle Oztroja (S),Demon
Marquis Gamygyn,N/A,Dynamis - Xarcabard,Dynamis - Demon
Marquis Nebiros,N/A,Dynamis - Xarcabard,Dynamis - Demon
Marquis Orias,N/A,Dynamis - Xarcabard,Dynamis - Demon
Marquis Sabnak,N/A,Dynamis - Xarcabard,Dynamis - Demon
Marquis Sabnock,N/A,Castle Zvahl Baileys,Demon
Martial Maestro Megomak,N/A,Ilrusi Atoll,Moblin
Martinet,N/A,Ro'Maeve,Doll
Masan,N/A,Sea Serpent Grotto,Leech
Matron Crawler,64 - 64,Crawlers' Nest,Crawler
Mauled Murdock,N/A,Qu'Bia Arena,Ghost
Meanderer,N/A,Abyssea-Konschtat,Wanderers
Meditator,N/A,Abyssea-La Theine,Thinkers
Medusa,N/A,Al Zahbi,Lamia
Medusa,N/A,Arrapago Reef,Lamia
Mee Deggi the Punisher,35 - 36,Castle Oztroja,Yagudo
Megalobugard,N/A,Lufaise Meadows,Bugard
Megalotaur,N/A,Xarcabard (S),Taurus
Megamaw Mikey,N/A,Abyssea-La Theine,Worm
Megantereon,N/A,Abyssea-La Theine,Tiger
Megapod Megalops,N/A,Labyrinth of Onzozo,Crab
Melo Melo,N/A,Abyssea-Grauberg,Uragnite
Melusine,N/A,East Ronfaure (S),Pixie
Merrow No. 12,N/A,Al Zahbi,Merrow
Merrow No. 5,N/A,Arrapago Reef,Merrow
Merrow Seafarer,N/A,Al Zahbi,Merrow
Merrow Shiranuhi,N/A,Al Zahbi,Merrow
Mesuline,N/A,East Ronfaure (S),Pixie
Metal Crab,N/A,Waughroon Shrine,Crab
Metallic Slime,N/A,Korroloka Tunnel, 2 more areas,Slime
Metaquadav Black Mage,30 - 35,Valkurm Dunes, 1 more areas,Quadav
Metaquadav Dark Knight,30 - 35,Valkurm Dunes, 1 more areas,Quadav
Metaquadav Paladin,30 - 35,Valkurm Dunes, 1 more areas,Quadav
Metaquadav Red Mage,30 - 35,Valkurm Dunes, 1 more areas,Quadav
Metaquadav Thief,30 - 35,Valkurm Dunes, 1 more areas,Quadav
Metaquadav Warrior,30 - 35,Valkurm Dunes, 1 more areas,Quadav
Metaquadav White Mage,30 - 35,Valkurm Dunes, 1 more areas,Quadav
Meteormauler Zhagtegg,50 - 55,Jugner Forest,Orc
Metsanhaltija,N/A,Waughroon Shrine,Sapling
Metsanneitsyt,N/A,Waughroon Shrine,Sapling
Metshaldjas,N/A,Ghoyu's Reverie (MMM),Trap
Meww the Turtlerider,N/A,Yuhtunga Jungle,Sahagin
Mi'Rhe Whisperblade,N/A,Dynamis - Beaucedine,Dynamis - Quadav
Mi'ghrah,N/A,Abyssea-Misareaux,Ghrah
Microplasm,N/A,Gustav Tunnel,Slime
Mictlantecuhtli,N/A,Abyssea-Tahrongi,Corse
Mielikki,N/A,Abyssea-Attohwa,Treant
Migratory Hippogryph,N/A,Grauberg (S),Hippogryph
Mildaunegeux,N/A,Dynamis - Beaucedine,Dynamis - Shadow
Millenary Mossback,N/A,Apollyon - Northwest,Limbus - Adamantoise
Mimas,36 - 36,Upper Delkfutt's Tower,Gigas
Mimic,55 - 60,Dangruf Wadi, 31 more areas,Mimic
Mimic,N/A,The Eldieme Necropolis,Mimic
Minaruja,N/A,Abyssea-Grauberg,Wyvern
Minax Bugard,N/A,Abyssea-Misareaux,Bugard
Mind Hoarder,N/A,Fei'Yin,Magic Pot
Mind's-eyed Klugwug,60 - 60,Horlais Peak,Orc
Mineral Worm,N/A,Azouph Isle Staging Point,Worm
Minhocao,N/A,Abyssea-Tahrongi,Sandworm
Minotaur,N/A,Phomiuna Aqueducts,Taurus
Mint Custard,N/A,Nyzul Isle,Flan
Mischievous Micholas,55 - 55,Yuhtunga Jungle,Opo-opo
Mischievous Micholas (Nyzul),N/A,Nyzul Isle,Opo-opo
Miser Murphy,62 - 62,Fei'Yin,Ghost
Mithran Automaton,N/A,Mine Shaft #2716,Humanoid
Mithraslaver Debhabob,N/A,Dynamis - Beaucedine,Dynamis - Orc
Miura,N/A,East Sarutabaruta, 3 more areas,Buffalo
Moblin Clergyman,N/A,Mine Shaft #2716,Moblin
Moblin Fantocciniman,N/A,Mine Shaft #2716,Moblin
Moblin Wisewoman,N/A,Mine Shaft #2716,Moblin
Mobpix Mucousmouth,N/A,Dynamis - Jeuno,Dynamis - Goblin
Mocking Colibri,N/A,Jade Sepulcher,Colibri
Mokka,N/A,Nyzul Isle,Imp
Mokke,72 - 74,Nyzul Isle,Imp
Mokku,N/A,Nyzul Isle,Imp
Mokkuralfi,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Flan
Mokkurkalfi,N/A,Ro'Maeve,Golem
Mokumokuren,N/A,Den of Rancor,Hecteyes
Moltenox Stubthumbs,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Molyb'iton,60 - 60,Sacrificial Chamber,Tonberry
Moo Ouzi the Swiftblade,30 - 30,Castle Oztroja,Yagudo
Moo Ouzi the Swiftblade,N/A,Sauromugue Champaign (S), 8 more areas,Yagudo
Morbid Molasses,N/A,Verdical Conflux 2,Clot
Morbol Emperor,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Morbol
Morbolger,42 - 44,Ordelle's Caves,Morbol
Morgmox Moldnoggin,N/A,Dynamis - Jeuno,Dynamis - Goblin
Morille Mortelle,N/A,Crawlers' Nest (S),Funguar
Morion Worm,30 - 30,Korroloka Tunnel,Worm
Mortilox Wartpaws,N/A,Dynamis - Jeuno,Dynamis - Goblin
Moshdahn,N/A,Caedarva Mire,Qutrub
Mother Globe,N/A,The Shrine of Ru'Avitau,Detector
Motsognir,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Dvergr
Mountain Buffalo,N/A,Apollyon - Northwest,Limbus - Buffalo
Mountain Worm,N/A,Uleguerand Range,Worm
Mouu the Waverider,64 - 64,Sea Serpent Grotto,Sahagin
Movamuq,N/A,Mine Shaft #2716,Moblin
Moxnix Nightgoggle,N/A,Behemoth's Dominion,Goblin
Mu'Gha Legionkiller,N/A,Dynamis - Beaucedine,Dynamis - Quadav
Mu'Nhi Thimbletail,N/A,Beadeaux (S),Quadav
Mu'Zha Infernoblade,N/A,Qulun Dome,Quadav
Muninn,N/A,Einherjar - Rossweisse's Chamber, 8 more areas,Bird
Muq Shabeel,N/A,Meriphataud Mountains (S),Lynx
Muscaliet,N/A,Abyssea-Tahrongi,Manticore
Muu Buxu the Elusive,N/A,Sauromugue Champaign (S), 6 more areas,Yagudo
Muu Febi the Steadfast,N/A,Dynamis - Windurst,Yagudo
Mx'ghrah,N/A,Abyssea-Misareaux,Ghrah
Mycophile,35 - 35,Carpenters' Landing,Funguar
Myrmecoleon,N/A,Abyssea-Tahrongi,Antlion
Myrmeleontide,N/A,Verdical Conflux 3,Antlion
Mystic Avatar (Carbuncle),N/A,Central Temenos - 2nd Floor,Avatar
Mysticmaker Profblix,50 - 53,Labyrinth of Onzozo,Goblin
Mythril Mouth Monamaq,N/A,Halvung,Moblin
Na'Hya Floodmaker,N/A,Dynamis - Beaucedine,Dynamis - Quadav
Naa Zeku the Unwaiting,N/A,Meriphataud Mountains,Yagudo
Nahn,N/A,Abyssea-La Theine,Crab
Nakki,N/A,Lufaise Meadows,Doomed
Namorodo,N/A,The Eldieme Necropolis,Skeleton
Namtar,40 - 41,Sea Serpent Grotto,Skeleton
Nandi,35 - 36,Eastern Altepa Desert,Dhalmel
Nanoplasm,N/A,Gustav Tunnel,Slime
Nant'ina,N/A,Dynamis - Valkurm,Dynamis - Goobbue
Narasimha,N/A,Labyrinth of Onzozo,Manticore
Nargun,N/A,Ro'Maeve,Golem
Natrix,N/A,Verdical Conflux 5,Hydra
Necroplasm,30 - 30,Ordelle's Caves,Doomed
Nee Huxa the Judgmental,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Nehebkau,N/A,Abyssea-Misareaux,Raptor
Neman,N/A,Waughroon Shrine,Bird
Nemean Lion,N/A,Al Zahbi,Chimera
Nenaunir,N/A,Balga's Dais,Dhalmel
Nenaunir's Wife,N/A,Balga's Dais,Dhalmel
Neoingurgitator,N/A,Spire of Vahzl,Empty
Neosatiator,N/A,Spire of Dem,Empty
Nephiyl Keepcollapser,60 - 60,Qu'Bia Arena,Gigas
Nephiyl Moatfiller,60 - 60,Qu'Bia Arena,Gigas
Nephiyl Pinnacletosser,60 - 60,Qu'Bia Arena,Gigas
Nephiyl Rampartbreacher,60 - 60,Qu'Bia Arena,Gigas
Nepionic Bladmall,N/A,Boneyard Gully,Uragnite
Nepionic Parata,N/A,Boneyard Gully,Uragnite
Nepionic Soulflayer,N/A,Alzadaal Undersea Ruins,Soulflayer
Nguruvilu,N/A,Abyssea-La Theine,Puk
Ni'Ghu Nestfender,53 - 53,Palborough Mines,Quadav
Ni'Zho Bladebender,N/A,Pashhow Marshlands,Quadav
Nickel Quadav,N/A,Beadeaux,Quadav
Nickur,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Doomed
Nidhogg,90 - 90,Dragon's Aery,Wyrm
Nightmare Antlion,N/A,Dynamis - Tavnazia,Dynamis - Antlion
Nightmare Bugard,N/A,Dynamis - Tavnazia,Dynamis - Bugard
Nightmare Vase,76 - 78,Ro'Maeve,Magic Pot
Nightmare Vase (Nyzul),N/A,Nyzul Isle,Magic Pot
Nightmare Worm,N/A,Dynamis - Tavnazia,Dynamis - Worm
Nightshade,N/A,Abyssea-Attohwa,Mandragora
Nihhus,N/A,Einherjar - Rossweisse's Chamber, 2 more areas,Wivre
Nihniknoovi,N/A,La Theine Plateau,Bird
Nimble Nelson,N/A,Ghoyu's Reverie (MMM),Rabbit
Ningishzida,N/A,Abyssea-Grauberg,Hydra
Nio-Hum,N/A,Temple of Uggalepih,Doll
Nis Puk,N/A,Bhaflau Thickets,Puk
Niveus Tages,N/A,Ghoyu's Reverie (MMM),Mandragora
No'Bhu Unyielding,N/A,Qulun Dome,Quadav
No'Mho Crimsonarmor,22 - 23,Palborough Mines,Quadav
No'Mho Crimsonarmor,N/A,Grauberg (S), 1 more areas,Quadav
Noble Mold,N/A,The Sanctuary of Zi'tah,Funguar
Noctonberry Black Mage,55 - 55,Yhoator Jungle,Tonberry
Noctonberry Ninja,55 - 55,Yhoator Jungle,Tonberry
Noctonberry Summoner,55 - 55,Yhoator Jungle,Tonberry
Noctonberry Thief,55 - 55,Yhoator Jungle,Tonberry
Nocuous Weapon,N/A,Inner Horutoto Ruins,Evil Weapon
Nommo,N/A,Pashhow Marshlands (S),Slug
Nonno,N/A,Abyssea-Misareaux,Mandragora
Northern Piranu,N/A,Open sea route to Al Zahbi,Orobon
Northern Shadow,63 - 63,Fei'Yin,Shadow
Northern Shadow (Nyzul),N/A,Nyzul Isle,Shadow
Nosferatu,N/A,Aydeewa Subterrane,Vampyr
Nosferatu Bats,N/A,Aydeewa Subterrane,Triple Bats
Nosferatu Murk,N/A,Aydeewa Subterrane,Fomor
Nosferatu Wolf,N/A,Aydeewa Subterrane,Hound
Novv the Whitehearted,74 - 74,Sea Serpent Grotto,Sahagin
Noxious Nellie,N/A,Ghoyu's Reverie (MMM),Spider
Npfundlwa,N/A,Abyssea-Misareaux,Rabbit
Nu'Bhi Spiraleye,N/A,Dynamis - Beaucedine,Dynamis - Quadav
Nue,41 - 42,Beaucedine Glacier,Tiger
Nuhn,N/A,Arrapago Reef,Orobon
Numbing Norman,N/A,West Sarutabaruta,Bee
Nunyenunc,12 - 12,West Sarutabaruta,Bird
Nunyenunc (Nyzul),N/A,Nyzul Isle,Bird
Nunyunumi,50 - 50,Pso'Xja,Golem
Nussknacker,70 - 70,Quicksand Caves,Lizard
Nutmeg Custard,N/A,Nyzul Isle,Flan
Nuu Gazo the Dirgerimer,N/A,Meriphataud Mountains (S),Yagudo
Nuu Kofu the Gentle,64 - 64,Balga's Dais,Yagudo
Ob,N/A,Alzadaal Undersea Ruins,Automaton
Observant Zekka,N/A,Beadeaux (S),Imp
Ocean Sahagin,75 - 75,Sea Serpent Grotto,Sahagin
Odin,N/A,Einherjar - Odin's Chamber,Avatar
Odin Image,N/A,Hazhalm Testing Grounds,Avatar
Odin Prime,N/A,Hazhalm Testing Grounds,Avatar
Odin's Fool,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Imp
Odin's Jester,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Imp
Odontotyrannus,N/A,Castle Oztroja,Pugil
Odqan,50 - 51,Misareaux Coast,Cluster
Odqan (Nyzul),N/A,Nyzul Isle,Cluster
Ogama,80 - 80,Den of Rancor,Doomed
Ogmios,N/A,Cloister of Gales,Manticore
Ogopogo,N/A,Abyssea-Uleguerand,Avatar
Ogygos,N/A,Middle Delkfutt's Tower,Gigas
Oko,N/A,Leujaoam Sanctum,Humanoid
Okyupete,N/A,Misareaux Coast,Greater Bird
Old Professor Mariselle,N/A,Sacrarium,Ghost
Old Two-Wings,52 - 52,Garlaige Citadel,Bats
Old Two-Wings (Nyzul),N/A,Nyzul Isle,Bats
Olgoi-Khorkhoi,N/A,North Gustaberg (S),Worm
Olla Grande,85 - 85,The Shrine of Ru'Avitau,Magic Pot
Olla Media,83 - 83,The Shrine of Ru'Avitau,Magic Pot
Olla Pequena,83 - 83,The Shrine of Ru'Avitau,Magic Pot
Olphanim,N/A,Abyssea-Tahrongi,Hecteyes
Omega,N/A,Sealion's Den,Biotechnological Weapon
One-Eyed Gwajboj,62 - 62,Davoi,Orc
One-Eyed Gwajboj,N/A,Jugner Forest (S), 6 more areas,Orc
Oni Carcass,68 - 70,Toraimarai Canal,Doomed
Onibi,N/A,Waughroon Shrine,Elemental
Onki,N/A,Waughroon Shrine,Demon
Onryo,N/A,Valkurm Dunes,Ghost
Ophion,N/A,Middle Delkfutt's Tower,Gigas
Orbital,N/A,Celestial Nexus,Detector
Orc's Wyvern,26 - 28,Valkurm Dunes, 3 more areas,Wyvern
Orcish Bloodletter,N/A,Beaucedine Glacier (S),Orc
Orcish Carrier,N/A,Everbloom Hollow,Orc
Orcish Chasseur,N/A,West Ronfaure,Orc
Orcish Fighterchief,N/A,West Ronfaure,Orc
Orcish Guard,N/A,East Ronfaure, 1 more areas,Orc
Orcish Hexspinner,69 - 70,Monastic Cavern,Orc
Orcish Onager,N/A,Horlais Peak,Orcish Warmachine
Orcish Overlord,75 - 75,Monastic Cavern,Orc
Orcish Panzer,22 - 24,Fort Ghelsba,Orcish Warmachine
Orcish Stormer,N/A,Everbloom Hollow,Orc
Orcish Turret,N/A,Jugner Forest (S), 3 more areas,Beastmen Turrets
Orcish Turret,N/A,Ghoyu's Reverie,Beastmen Turrets
Orcish Warlord,72 - 74,Monastic Cavern,Orc
Orctrap,38 - 40,Carpenters' Landing,Trap
Orctrap (Nyzul),N/A,Nyzul Isle,Trap
Orcus,N/A,West Sarutabaruta, 3 more areas,Antlion
Orichalcum Quadav,N/A,Temenos,Quadav
Oriri Samariri,N/A,Nyzul Isle,Poroggo
Orna,N/A,Lower Delkfutt's Tower,Evil Weapon
Ornery Orobon,N/A,Arrapago Reef,Orobon
Orobon,N/A,Silver Sea route to Nashmau,Orobon
Orobon,N/A,Ilrusi Atoll,Orobon
Orochi,N/A,Mamool Ja Training Grounds,Hydra
Orthrus,N/A,Abyssea-Altepa,Cerberus
Ortlinde,N/A,Einherjar - Odin's Chamber,Fomor
Ose,65 - 70,Labyrinth of Onzozo,Coeurl
Osschaart,N/A,Waughroon Shrine,Ahriman
Osschaart's Automaton,N/A,Waughroon Shrine,Automaton
Osschaart's Avatar,N/A,Waughroon Shrine,Avatar
Osschaart's Bat,N/A,Waughroon Shrine,Bats
Osschaart's Wyvern,N/A,Waughroon Shrine,Wyvern
Oupire,N/A,Alzadaal Undersea Ruins,Vampyr
Ouryu,85 - 90,Riverne - Site #B01, 1 more areas,Wyrm
Ouryu,N/A,Monarch Linn,Wyrm
Ouzelum,N/A,Abyssea-Altepa,Greater Bird
Overgrown Ivy,60 - 62,Carpenters' Landing,Morbol
Overlord Bakgodek,77 - 77,Monastic Cavern,Orc
Overlord's Tombstone,N/A,Dynamis - San d'Oria,Replica
Ovni,N/A,Abyssea-La Theine,Yovra
Owl Guardian,52 - 52,The Eldieme Necropolis,Skeleton
Padfoot,50 - 50,Lufaise Meadows,Sheep
Pahh the Gullcaller,N/A,Sea Serpent Grotto,Sahagin
Pallas,72 - 72,Upper Delkfutt's Tower,Gigas
Pallas,N/A,Vunkerl Inlet (S),Gigas
Pallid Percy,N/A,Abyssea-Attohwa,Worm
Pandemonium Warden,N/A,Aydeewa Subterrane,Dvergr
Pantagruel,N/A,Abyssea-La Theine,Gigas
Pantokrator,N/A,Abyssea-Uleguerand,Biotechnological Weapon
Panurgic Ryubool Ja,N/A,Al Zahbi,Mamool Ja
Panzer Percival,25 - 26,Jugner Forest,Beetle
Panzer Percival (Nyzul),N/A,Nyzul Isle,Beetle
Parata,N/A,Boneyard Gully,Uragnite
Pascerpot,N/A,Abyssea-Vunkerl,Crawler
Pasuk,N/A,The Shrouded Maw,Diremite
Patripatan,N/A,Meriphataud Mountains,Coeurl
Pavan,N/A,Abyssea-Konschtat,Avatar
Peallaidh,73 - 75,Caedarva Mire,Sheep
Peallaidh (Nyzul),N/A,Nyzul Isle,Sheep
Peaseblossom,73 - 74,North Gustaberg (S),Pixie
Pee Qoho the Python,N/A,Temenos,Yagudo
Peg Powler,61 - 61,Labyrinth of Onzozo,Sea Monk
Peg Powler (Nyzul),N/A,Nyzul Isle,Sea Monk
Pelican,N/A,Kuftal Tunnel,Cockatrice
Pelican (Nyzul),N/A,Nyzul Isle,Cockatrice
Pepper,N/A,Balga's Dais,Leech
Percipient Zoraal Ja,N/A,Wajaom Woodlands,Mamool Ja
Peryton (Salvage),N/A,Bhaflau Remnants,Salvage - Greater Bird
Petro Pukis,N/A,Dynamis - Beaucedine,Dynamis - Dragon
Petrocrab,N/A,Lufaise Meadows,Crab
Pevv the Riverleaper,60 - 60,Sacrificial Chamber,Sahagin
Pey,N/A,King Ranperre's Tomb, 1 more areas,Skeleton
Phanduron the Condemned,72 - 73,Bostaunieux Oubliette,Shadow
Phantasmal Puk,N/A,Al Zahbi,Puk
Phantom Puk,N/A,Jade Sepulcher,Puk
Phantom Worm,60 - 70,Kuftal Tunnel,Worm
Phoedme,N/A,Balga's Dais,Leech
Piasa,N/A,Abyssea-La Theine,Bird
Picklix Longindex,N/A,Behemoth's Dominion,Goblin
Picolaton,72 - 73,Western Altepa Desert,Greater Bird
Pilwiz,N/A,Horlais Peak,Beetle
Pining Abazohn,N/A,Al Zahbi,Qutrub
Pixie Impaler,N/A,North Gustaberg (S),Bee
Pixiebane,N/A,Fort Karugo-Narugo (S),Rafflesia
Pixietrap,N/A,Jugner Forest (S),Trap
Plague Chigoe,N/A,Bhaflau Thickets,Chigoe
Platoon Scorpion,N/A,Waughroon Shrine,Scorpion
Plumbago,N/A,Beaucedine Glacier,Tiger
Poison Peiste,N/A,Pashhow Marshlands (S),Peiste
Poison Pukis,N/A,Dynamis - Beaucedine,Dynamis - Dragon
Poisonhand Gnadgad,39 - 40,Davoi,Orc
Poisonhand Gnadgad,N/A,East Ronfaure (S),Orc
Polevik,45 - 45,Ordelle's Caves,Elemental
Polybotes,N/A,Middle Delkfutt's Tower,Gigas
Ponderer,N/A,Promyvion - Vahzl,Empty
Poo Yozo the Babbler,N/A,Altar Room,Yagudo
Poroggo Charmer,N/A,Al Zahbi,Poroggo
Poroggo Dom Juan,N/A,Abyssea-La Theine,Poroggo
Poroggo Gent,N/A,Zhayolm Remnants,Salvage - Poroggo
Poroggo Gourmand,N/A,West Sarutabaruta (S),Poroggo
Poroggo Madame,N/A,Zhayolm Remnants,Salvage - Poroggo
Poroggo's Toady,N/A,West Sarutabaruta (S),Toad
Porphyrion,36 - 36,Upper Delkfutt's Tower,Gigas
Powderer Penny,N/A,Yhoator Jungle,Bee
Powderkeg Yanadahn,N/A,Silver Sea Remnants,Salvage - Fomor
Prankster Maverix,N/A,Batallia Downs,Evil Weapon
Prickly Sheep,N/A,Konschtat Highlands, 2 more areas,Sheep
Prince Orobas,N/A,Xarcabard (S),Demon
Prince Seere,N/A,Dynamis - Xarcabard,Dynamis - Demon
Princeps IV-XLV,N/A,Quicksand Caves,Antica
Princeps V-XI,N/A,Chamber of Oracles,Antica
Princess Pudding,N/A,Arrapago Remnants,Salvage - Flan
Prishe,N/A,Stellar Fulcrum,Elvaan
Proconsul XII,72 - 72,Quicksand Caves,Antica
Procreator,60 - 60,Spire of Vahzl,Empty
Procrustes,N/A,Vunkerl Inlet (S),Gigas
Professor Schultz,N/A,Throne Room,Hume
Promathia,N/A,Empyreal Paradox,Gods
Propagator,N/A,Promyvion - Vahzl,Empty
Proteus,N/A,Silver Sea route to Nashmau,Sea Monk
Proto-Omega,N/A,Apollyon - Central,Limbus - Biotechnological Weapon
Proto-Ultima,N/A,Central Temenos - 4th Floor,Limbus - Biotechnological Weapon
Provoker,N/A,Promyvion - Vahzl,Seethers
Prowlox Barrelbelly,N/A,Dynamis - Jeuno,Dynamis - Goblin
Pruina,N/A,Batallia Downs, 5 more areas,Elemental
Prune,N/A,Balga's Dais,Leech
Psycheflayer (Salvage),N/A,Arrapago Remnants,Salvage - Soulflayer
Pulverized Pfeffer,36 - 38,Gusgen Mines,Ghost
Pulverized Pfeffer (Nyzul),N/A,Nyzul Isle,Ghost
Punctured Percy,N/A,Qu'Bia Arena,Ghost
Puretos,N/A,Batallia Downs, 5 more areas,Elemental
Purpleflash Brukdok,45 - 45,Davoi,Orc
Purushamriga,N/A,Ghoyu's Reverie (MMM),Dhalmel
Puu Timu the Phantasmal,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Qiqirn Astrologer,N/A,Arrapago Remnants,Salvage - Qiqirn
Qiqirn Mine,N/A,Al Zahbi,Mine
Qiqirn Treasure Hunter,N/A,Arrapago Remnants,Salvage - Qiqirn
Qn'hpemde,N/A,Al'Taieu,Hpemde
Qn'xzomit,N/A,Al'Taieu,Xzomit
Qn'zdei,N/A,Grand Palace of Hu'Xzoi,Zdei
Qoofim,N/A,Qufim Island,Pugil
Qu'Pho Bloodspiller,N/A,Dynamis - Buburimu,Dynamis - Quadav
Qu'Vho Deathhurler,N/A,Palborough Mines,Quadav
Quadav Stormer,N/A,Ruhotz Silvermines,Quadav
Quadav Turret,N/A,Rolanberry Fields (S),Beastmen Turrets
Quagmire Pugil,N/A,East Ronfaure, 3 more areas,Pugil
Quasimodo,N/A,Abyssea-Vunkerl,Gargouille
Queen Crawler,64 - 64,Crawlers' Nest,Crawler
Queen of Batons,N/A,Balga's Dais,Cardian
Queen of Coins,72 - 72,Outer Horutoto Ruins,Cardian
Queen of Cups,N/A,Balga's Dais,Cardian
Queen of Swords,72 - 72,Outer Horutoto Ruins,Cardian
Queenbug,N/A,East Ronfaure (S),Ladybug
Quetzalli,N/A,Abyssea-Tahrongi,Greater Bird
Quick Draw Sasaroon,N/A,Nyzul Isle,Qiqirn
Quiebitiel,N/A,Dynamis - Beaucedine,Dynamis - Shadow
Qull the Fallstropper,63 - 63,Sacrificial Chamber,Sahagin
Qull the Shellbuster,N/A,Sea Serpent Grotto,Sahagin
Qutrub Extortionist,N/A,Al Zahbi,Qutrub
